Tempo (s)	Sensor1	Sensor2	Sensor3
1928.0	75.75	80.75	81.25
1938.0	75.75	80.75	81.25
1948.0	75.75	80.5	81.25
1958.0	75.75	80.75	81.5
1968.0	75.75	80.5	81.5
1978.0	75.5	80.5	81.5
1988.0	76.0	80.5	82.0
1998.0	75.75	80.5	81.75
2008.0	75.5	81.0	82.0
2018.0	75.75	80.75	82.25
2028.0	76.0	80.5	82.0
2038.0	76.0	80.5	82.0
2048.0	75.75	80.5	82.25
2058.0	76.5	80.75	82.75
2068.0	76.0	81.0	82.5
2078.0	76.5	81.25	82.25
2088.0	76.25	81.5	83.0
2098.0	77.0	81.5	83.0
2108.0	77.25	81.75	83.0
2119.0	77.75	82.25	83.25
2129.0	77.5	82.0	83.75
2139.0	78.0	82.75	83.5
2149.0	78.25	82.75	83.75
2159.0	78.75	83.25	84.25
2169.0	78.75	83.75	84.25
2179.0	78.75	83.5	84.25
2189.0	78.75	83.5	84.25
2199.0	79.0	84.0	84.5
2209.0	79.0	83.75	83.75
2219.0	79.25	84.25	85.0
2229.0	78.75	84.25	84.75
2239.0	79.5	85.0	85.25
2249.0	79.75	84.75	85.0
2259.0	78.5	84.5	85.5
2269.0	79.5	84.25	85.25
2279.0	79.5	84.25	85.5
2289.0	80.0	84.25	85.0
2299.0	79.5	84.25	85.25
2309.0	79.75	85.0	85.5
2319.0	79.5	84.75	86.0
2329.0	79.75	84.5	86.0
2339.0	80.0	84.75	86.0
2349.0	79.25	84.75	86.0
2359.0	79.75	84.5	86.0
2369.0	79.25	84.75	86.5
2379.0	79.5	84.5	86.25
2390.0	80.0	85.25	86.75
2400.0	79.75	84.25	86.25
2410.0	79.75	84.75	86.5
2420.0	79.75	84.75	86.25
2430.0	80.0	84.75	86.5
2440.0	80.25	84.5	86.75
2450.0	80.25	85.75	86.75
2460.0	80.0	86.0	86.5
2470.0	80.75	86.75	87.25
2480.0	81.0	86.5	87.25
2490.0	81.25	87.0	87.0
2500.0	81.0	86.75	87.0
2510.0	81.75	86.75	87.0
2520.0	82.0	87.25	87.5
2530.0	82.5	87.25	87.5
2540.0	82.75	86.75	87.25
2550.0	83.0	87.25	88.0
2560.0	82.75	87.0	88.25
2570.0	82.75	88.0	88.25
2580.0	82.5	87.75	88.5
2590.0	82.75	88.0	88.75
2600.0	83.5	87.5	88.75
2611.0	83.25	88.0	88.5
2621.0	83.25	88.25	88.75
2631.0	83.0	88.25	89.0
2641.0	83.0	87.75	89.25
2651.0	83.25	87.5	89.25
2661.0	83.5	87.75	89.25
2671.0	83.5	87.5	89.5
2681.0	83.0	88.25	90.0
2691.0	83.5	87.75	89.75
2701.0	83.0	88.0	89.75
2711.0	83.25	88.0	90.25
2721.0	83.5	87.25	90.0
2731.0	83.75	87.5	90.25
2741.0	83.5	87.5	90.5
2751.0	83.5	88.25	90.5
2761.0	83.0	88.25	90.25
2771.0	83.25	88.25	90.5
2781.0	83.25	88.5	90.5
2791.0	83.25	88.5	90.5
2801.0	83.5	88.75	90.5
2811.0	83.5	88.25	90.5
2821.0	83.5	88.5	90.75
2831.0	83.75	88.0	91.0
2842.0	83.75	89.25	90.75
2852.0	84.25	89.75	91.25
2862.0	84.25	89.5	90.75
2872.0	84.5	89.25	91.25
2882.0	84.75	90.25	91.25
2892.0	84.75	89.75	91.25
2902.0	85.25	89.75	91.25
2912.0	85.5	90.5	91.75
2922.0	85.5	90.75	91.75
2932.0	85.75	91.25	91.75
2942.0	86.25	90.5	92.25
2952.0	86.25	90.75	92.0
2962.0	86.0	90.5	92.25
2972.0	86.5	91.0	92.0
2982.0	86.5	91.0	91.75
2992.0	86.75	91.0	92.5
3002.0	86.5	91.0	92.25
3012.0	86.5	90.75	92.5
3022.0	87.0	91.0	92.75
3032.0	86.75	91.25	92.75
3042.0	86.75	91.5	93.25
3052.0	86.5	91.0	92.75
3062.0	86.5	90.75	93.25
3072.0	86.75	90.75	93.25
3083.0	86.5	91.0	92.75
3093.0	86.25	91.0	93.5
3103.0	86.25	90.75	94.0
3113.0	86.5	90.25	94.0
3123.0	86.5	90.75	93.0
3133.0	86.25	90.75	94.0
3143.0	86.5	91.25	94.0
3153.0	86.25	91.0	93.75
3163.0	86.5	90.5	93.5
3173.0	86.5	91.5	93.75
3183.0	86.75	92.0	93.75
3193.0	86.5	91.75	93.75
3203.0	87.25	92.25	94.25
3213.0	87.25	92.5	94.25
3223.0	87.0	92.75	94.0
3233.0	87.5	92.5	94.25
3243.0	87.5	92.5	94.5
3253.0	88.0	93.5	94.75
3263.0	88.5	93.5	94.75
3273.0	88.5	93.5	95.0
3284.0	89.0	93.5	95.0
3294.0	89.25	93.5	95.0
3304.0	89.5	93.25	94.75
3314.0	89.0	93.75	95.0
3324.0	89.75	93.25	95.0
3334.0	89.75	93.5	95.5
3344.0	89.75	94.0	95.25
3354.0	89.75	93.75	95.25
3364.0	90.0	93.25	96.0
3374.0	89.75	93.75	95.75
3384.0	89.75	93.25	95.75
3394.0	89.25	93.0	96.25
3404.0	89.5	93.25	96.25
3414.0	89.75	93.0	95.75
3424.0	89.5	92.75	96.25
3434.0	89.25	93.75	96.25
3444.0	89.0	93.75	96.25
3454.0	88.75	93.75	96.75
3464.0	88.75	93.5	96.5
3474.0	89.0	94.0	96.5
3484.0	88.75	94.0	96.25
3494.0	88.75	94.0	96.75
3504.0	88.5	94.25	97.0
3514.0	88.75	93.5	97.0
3524.0	88.75	94.25	97.25
3535.0	89.0	94.0	97.0
3545.0	89.0	94.25	96.75
3555.0	88.5	94.0	97.0
3565.0	88.75	94.5	97.5
3575.0	89.0	94.5	97.5
3585.0	89.75	95.75	97.5
3595.0	90.25	95.0	97.25
3605.0	90.5	95.25	97.0
3615.0	90.75	95.75	98.0
3625.0	91.0	95.75	97.75
3635.0	91.25	95.25	97.75
3645.0	91.5	95.5	97.25
3655.0	91.5	96.25	98.0
3665.0	92.25	96.0	98.0
3675.0	92.25	96.5	98.25
3685.0	92.0	96.25	98.25
3695.0	92.75	96.5	98.0
3705.0	92.5	96.5	98.5
3715.0	92.25	97.0	98.25
3725.0	92.25	96.5	98.75
3735.0	92.0	96.5	98.75
3745.0	92.5	96.5	98.75
3755.0	92.25	96.75	98.75
3765.0	92.5	97.0	99.25
3775.0	92.0	96.0	99.25
3786.0	92.75	96.75	98.75
3796.0	92.25	96.5	99.5
3806.0	92.5	97.0	99.25
3816.0	92.25	96.75	99.5
3826.0	92.25	96.5	99.5
3836.0	92.0	96.5	99.75
3846.0	92.0	96.75	99.75
