Tempo (s)	Sensor1	Sensor2	Sensor3
0.0	124.0	123.75	125.75
10.0	123.75	124.25	125.5
20.0	124.0	124.25	125.5
30.0	124.25	124.25	125.75
40.0	124.25	124.25	125.5
50.0	124.25	124.25	125.75
60.0	123.75	123.5	126.25
70.0	124.25	123.75	126.0
81.0	124.0	123.75	125.75
91.0	123.5	123.75	126.0
101.0	124.0	123.75	125.5
111.0	124.25	123.75	125.0
121.0	123.75	123.5	125.5
131.0	123.75	123.5	125.75
141.0	124.0	123.5	125.5
151.0	123.5	123.25	125.5
161.0	124.0	123.5	125.75
171.0	124.0	123.0	125.75
181.0	123.25	123.0	125.75
191.0	123.5	122.75	125.0
201.0	123.75	123.25	125.75
211.0	124.0	122.75	125.5
221.0	123.5	123.0	125.5
231.0	123.25	122.5	125.0
241.0	123.75	122.75	124.75
251.0	123.75	122.5	125.5
261.0	123.25	122.5	125.25
271.0	123.25	122.75	125.25
281.0	123.0	122.5	125.0
291.0	123.5	122.25	125.25
301.0	123.5	122.5	124.75
312.0	123.5	122.75	125.0
322.0	123.0	122.75	125.0
332.0	123.25	122.75	124.5
342.0	123.25	122.75	124.75
352.0	123.25	122.75	125.0
362.0	123.5	123.0	125.25
372.0	123.25	122.75	125.25
382.0	123.5	123.0	125.25
392.0	122.75	123.5	125.0
402.0	123.5	123.75	125.0
412.0	123.25	123.5	125.0
422.0	123.25	123.75	124.5
432.0	123.75	124.0	124.5
442.0	124.0	123.75	124.5
452.0	124.0	124.0	124.75
462.0	124.0	124.25	125.25
472.0	124.0	124.25	125.75
482.0	124.0	124.5	125.5
492.0	123.75	124.5	125.75
503.0	124.0	124.5	125.75
513.0	124.25	124.25	125.75
523.0	124.75	124.25	125.75
533.0	124.5	124.0	125.75
543.0	123.75	124.5	126.0
553.0	124.0	124.25	125.5
563.0	124.25	124.25	126.25
573.0	124.0	124.25	126.25
583.0	124.5	124.0	126.0
593.0	124.0	124.25	125.75
603.0	124.0	124.0	125.25
613.0	124.5	124.5	125.5
623.0	124.25	124.25	126.0
633.0	124.25	123.75	126.25
643.0	124.25	124.0	125.75
653.0	124.0	124.0	126.25
664.0	124.0	124.0	126.0
674.0	124.0	124.0	125.75
684.0	123.75	124.0	125.25
694.0	123.75	123.5	126.0
704.0	124.0	123.75	126.0
714.0	124.0	123.75	126.25
724.0	123.75	122.75	125.75
734.0	124.0	123.75	124.75
744.0	124.0	123.75	126.0
754.0	123.25	123.25	126.0
764.0	123.25	123.5	125.75
774.0	124.0	123.5	125.5
784.0	124.0	123.0	125.75
794.0	123.75	123.0	125.5
804.0	123.5	122.75	125.75
814.0	123.5	123.0	125.25
824.0	123.75	122.75	125.25
834.0	123.75	123.0	125.25
844.0	123.5	123.0	125.5
854.0	123.75	122.5	125.0
864.0	123.5	123.0	125.0
874.0	123.5	123.0	125.5
884.0	123.5	123.5	125.5
894.0	123.75	123.0	125.25
904.0	123.75	123.5	125.25
914.0	123.75	123.75	125.25
924.0	123.75	123.25	125.5
934.0	124.0	123.25	125.0
945.0	123.75	123.75	125.5
955.0	124.0	124.25	124.75
965.0	124.25	124.5	124.75
