Data/Hora,Segundos,Sensor1,Sensor2
2024-11-09 21:44:04,132.84,32.00,31.25
2024-11-09 21:44:05,133.93,31.50,31.25
2024-11-09 21:44:06,134.96,32.00,31.25
2024-11-09 21:44:07,136.03,32.00,31.50
2024-11-09 21:44:08,137.06,31.75,31.25
2024-11-09 21:44:09,138.17,32.00,30.75
2024-11-09 21:44:11,139.23,31.75,30.50
2024-11-09 21:44:12,140.24,31.75,31.25
2024-11-09 21:44:13,141.34,31.25,30.75
2024-11-09 21:44:14,142.34,31.75,30.75
2024-11-09 21:44:15,143.34,31.50,30.75
2024-11-09 21:44:16,144.44,31.75,31.00
2024-11-09 21:44:17,145.47,31.50,30.50
2024-11-09 21:44:18,146.55,31.50,30.75
2024-11-09 21:44:19,147.58,31.75,31.25
2024-11-09 21:44:20,148.67,31.50,31.00
2024-11-09 21:44:21,149.75,31.25,31.25
2024-11-09 21:44:22,150.86,31.50,31.00
2024-11-09 21:44:23,151.96,31.50,30.50
2024-11-09 21:44:24,153.02,31.75,31.00
2024-11-09 21:44:25,154.09,31.50,31.00
2024-11-09 21:44:26,155.18,31.50,30.75
2024-11-09 21:44:28,156.26,31.75,30.75
2024-11-09 21:44:29,157.36,31.50,31.00
2024-11-09 21:44:30,158.36,31.25,31.00
2024-11-09 21:44:31,159.46,31.50,30.50
2024-11-09 21:44:32,160.53,31.00,30.00
2024-11-09 21:44:33,161.57,31.50,30.25
2024-11-09 21:44:34,162.58,31.25,30.75
2024-11-09 21:44:35,163.68,31.50,31.00
2024-11-09 21:44:36,164.77,31.25,30.75
