Tempo (s)	Sensor1	Sensor2	Sensor3
999.0	86.25	0.0	0.0
1004.0	85.75	0.0	0.0
1009.0	86.25	0.0	0.0
1014.0	86.0	0.0	0.0
1019.0	85.5	0.0	0.0
1024.0	85.75	0.0	0.0
1029.0	85.75	0.0	0.0
1034.0	85.75	0.0	0.0
1039.0	85.75	0.0	0.0
1044.0	85.5	0.0	0.0
1050.0	85.25	0.0	0.0
1055.0	84.75	0.0	0.0
1060.0	85.0	0.0	0.0
1065.0	85.0	0.0	0.0
1070.0	85.0	0.0	0.0
1075.0	85.25	0.0	0.0
1080.0	84.75	0.0	0.0
1085.0	85.0	0.0	0.0
1090.0	84.75	0.0	0.0
1095.0	85.0	0.0	0.0
1100.0	84.75	0.0	0.0
1105.0	84.75	0.0	0.0
1110.0	84.75	0.0	0.0
1115.0	84.5	0.0	0.0
1120.0	84.5	0.0	0.0
1125.0	84.5	0.0	0.0
1130.0	83.75	0.0	0.0
1135.0	84.25	0.0	0.0
1140.0	83.75	0.0	0.0
1145.0	84.0	0.0	0.0
1150.0	83.75	0.0	0.0
1155.0	84.25	0.0	0.0
1160.0	83.75	0.0	0.0
1166.0	83.25	0.0	0.0
1171.0	83.5	0.0	0.0
1176.0	83.25	0.0	0.0
1181.0	83.0	0.0	0.0
1186.0	83.5	0.0	0.0
1191.0	83.5	0.0	0.0
1196.0	83.25	0.0	0.0
1201.0	83.25	0.0	0.0
1206.0	83.25	0.0	0.0
1211.0	82.75	0.0	0.0
1216.0	83.0	0.0	0.0
1221.0	83.0	0.0	0.0
1226.0	83.0	0.0	0.0
1231.0	82.5	0.0	0.0
1236.0	82.5	0.0	0.0
1241.0	82.75	0.0	0.0
1246.0	82.75	0.0	0.0
1251.0	82.25	0.0	0.0
1256.0	82.5	0.0	0.0
1261.0	82.5	0.0	0.0
1266.0	82.0	0.0	0.0
1271.0	82.0	0.0	0.0
1276.0	82.0	0.0	0.0
1282.0	82.0	0.0	0.0
1287.0	81.75	0.0	0.0
1292.0	82.0	0.0	0.0
1297.0	81.75	0.0	0.0
1302.0	81.0	0.0	0.0
1307.0	81.75	0.0	0.0
1312.0	81.5	0.0	0.0
1317.0	81.0	0.0	0.0
1322.0	81.25	0.0	0.0
1327.0	81.25	0.0	0.0
1332.0	80.5	0.0	0.0
1337.0	80.75	0.0	0.0
1342.0	80.5	0.0	0.0
1348.0	80.75	0.0	0.0
1353.0	81.0	0.0	0.0
1358.0	80.75	0.0	0.0
1363.0	80.75	0.0	0.0
1368.0	80.75	0.0	0.0
1373.0	80.25	0.0	0.0
1378.0	80.5	0.0	0.0
1383.0	80.25	0.0	0.0
1388.0	80.25	0.0	0.0
1393.0	80.5	0.0	0.0
1398.0	80.0	0.0	0.0
1403.0	79.75	0.0	0.0
1408.0	79.75	0.0	0.0
1413.0	79.5	0.0	0.0
1418.0	80.25	0.0	0.0
1423.0	80.0	0.0	0.0
1428.0	79.75	0.0	0.0
1433.0	80.0	0.0	0.0
1438.0	79.5	0.0	0.0
1443.0	79.75	0.0	0.0
1448.0	79.75	0.0	0.0
1453.0	79.0	0.0	0.0
1458.0	79.5	0.0	0.0
1463.0	79.5	0.0	0.0
1468.0	79.5	0.0	0.0
1474.0	79.25	0.0	0.0
1479.0	79.25	0.0	0.0
1484.0	79.0	0.0	0.0
1489.0	79.25	0.0	0.0
1494.0	79.0	0.0	0.0
1499.0	79.0	0.0	0.0
1504.0	79.0	0.0	0.0
1509.0	78.5	0.0	0.0
1514.0	78.75	0.0	0.0
1519.0	78.75	0.0	0.0
1524.0	78.25	0.0	0.0
1529.0	78.75	0.0	0.0
1534.0	78.5	0.0	0.0
1539.0	78.0	0.0	0.0
1544.0	78.25	0.0	0.0
1549.0	77.75	0.0	0.0
1554.0	78.0	0.0	0.0
1559.0	77.75	0.0	0.0
1564.0	78.0	0.0	0.0
1569.0	77.5	0.0	0.0
1574.0	77.75	0.0	0.0
1579.0	77.75	0.0	0.0
1584.0	77.5	0.0	0.0
1589.0	77.75	0.0	0.0
1594.0	77.0	0.0	0.0
1599.0	77.5	0.0	0.0
1604.0	77.75	0.0	0.0
1609.0	76.5	0.0	0.0
1614.0	77.0	0.0	0.0
1619.0	77.25	0.0	0.0
1624.0	76.75	0.0	0.0
1630.0	77.25	0.0	0.0
1635.0	77.0	0.0	0.0
1640.0	76.75	0.0	0.0
1645.0	77.0	0.0	0.0
1650.0	76.75	0.0	0.0
1655.0	76.75	0.0	0.0
1660.0	76.5	0.0	0.0
1665.0	76.5	0.0	0.0
1670.0	75.75	0.0	0.0
1675.0	76.5	0.0	0.0
1680.0	76.5	0.0	0.0
1685.0	76.0	0.0	0.0
1690.0	76.5	0.0	0.0
1695.0	75.75	0.0	0.0
1700.0	76.25	0.0	0.0
1705.0	75.75	0.0	0.0
1710.0	76.0	0.0	0.0
1715.0	75.75	0.0	0.0
1721.0	75.75	0.0	0.0
1726.0	76.0	0.0	0.0
1731.0	75.5	0.0	0.0
1736.0	75.25	0.0	0.0
1741.0	75.75	0.0	0.0
1746.0	75.5	0.0	0.0
1751.0	75.0	0.0	0.0
1756.0	75.5	0.0	0.0
1761.0	75.0	0.0	0.0
1766.0	75.25	0.0	0.0
1771.0	75.0	0.0	0.0
1776.0	75.25	0.0	0.0
1781.0	75.0	0.0	0.0
1786.0	74.25	0.0	0.0
1791.0	75.0	0.0	0.0
1796.0	74.75	0.0	0.0
1801.0	74.25	0.0	0.0
1806.0	74.25	0.0	0.0
1811.0	74.5	0.0	0.0
1816.0	74.5	0.0	0.0
1821.0	74.75	0.0	0.0
1826.0	74.5	0.0	0.0
1831.0	74.25	0.0	0.0
1836.0	74.5	0.0	0.0
1841.0	74.0	0.0	0.0
1846.0	74.25	0.0	0.0
1851.0	74.5	0.0	0.0
1856.0	74.25	0.0	0.0
1861.0	73.5	0.0	0.0
1866.0	74.0	0.0	0.0
1871.0	74.0	0.0	0.0
1877.0	73.75	0.0	0.0
1882.0	73.75	0.0	0.0
1887.0	73.75	0.0	0.0
1892.0	73.75	0.0	0.0
1897.0	73.25	0.0	0.0
