Data/Hora,Segundos,Sensor1,Sensor2
2024-11-11 13:56:31,1265.59,18.50,18.75
2024-11-11 13:56:41,1275.64,18.00,18.75
2024-11-11 13:56:51,1285.73,18.50,18.50
2024-11-11 13:57:01,1295.76,18.25,18.00
2024-11-11 13:57:11,1305.80,18.00,18.25
2024-11-11 13:57:21,1315.87,18.25,18.50
2024-11-11 13:57:31,1325.90,18.00,18.25
2024-11-11 13:57:41,1335.91,18.25,18.50
2024-11-11 13:57:52,1345.92,18.25,18.25
2024-11-11 13:58:02,1355.96,18.25,18.75
2024-11-11 13:58:12,1366.03,18.25,18.25
2024-11-11 13:58:22,1376.11,18.25,19.00
2024-11-11 13:58:32,1386.15,18.25,18.75
2024-11-11 13:58:42,1396.18,18.50,18.75
2024-11-11 13:58:52,1406.18,18.50,18.50
2024-11-11 13:59:02,1416.28,18.00,18.50
2024-11-11 13:59:12,1426.32,18.25,18.25
2024-11-11 13:59:22,1436.39,18.25,18.75
2024-11-11 13:59:32,1446.48,18.75,19.25
2024-11-11 13:59:42,1456.58,18.50,19.00
2024-11-11 13:59:52,1466.65,18.75,19.00
2024-11-11 14:00:02,1476.69,18.50,19.00
2024-11-11 14:00:12,1486.73,18.50,19.00
2024-11-11 14:00:22,1496.75,18.50,19.00
2024-11-11 14:00:32,1506.84,18.50,18.50
2024-11-11 14:00:42,1516.87,18.25,19.00
2024-11-11 14:00:52,1526.92,18.75,19.00
2024-11-11 14:01:03,1536.95,17.75,19.00
2024-11-11 14:01:13,1547.00,19.00,18.75
2024-11-11 14:01:23,1557.03,18.50,18.00
2024-11-11 14:01:33,1567.10,18.75,19.25
2024-11-11 14:01:43,1577.19,19.00,18.50
2024-11-11 14:01:53,1587.23,18.50,18.50
2024-11-11 14:02:03,1597.27,19.00,18.50
2024-11-11 14:02:13,1607.37,18.50,19.00
2024-11-11 14:02:23,1617.38,18.50,19.25
2024-11-11 14:02:33,1627.42,18.50,18.75
2024-11-11 14:02:43,1637.44,18.75,18.75
2024-11-11 14:02:53,1647.54,19.00,18.50
2024-11-11 14:03:03,1657.59,18.50,18.75
2024-11-11 14:03:13,1667.68,19.00,18.75
2024-11-11 14:03:23,1677.71,19.00,19.00
2024-11-11 14:03:33,1687.73,18.75,18.75
2024-11-11 14:03:43,1697.78,19.00,19.25
2024-11-11 14:03:53,1707.83,18.50,19.25
2024-11-11 14:04:03,1717.92,18.75,19.50
2024-11-11 14:04:13,1727.92,18.75,19.25
2024-11-11 14:04:24,1738.02,19.00,19.25
2024-11-11 14:04:34,1748.09,18.75,19.25
2024-11-11 14:04:44,1758.15,18.75,19.25
2024-11-11 14:04:54,1768.17,19.00,19.25
2024-11-11 14:05:04,1778.23,19.00,19.00
2024-11-11 14:05:14,1788.23,19.00,19.00
2024-11-11 14:05:24,1798.25,18.75,19.00
2024-11-11 14:05:34,1808.26,19.00,19.25
2024-11-11 14:05:44,1818.29,19.25,19.50
2024-11-11 14:05:54,1828.33,19.00,19.50
2024-11-11 14:06:04,1838.42,18.75,19.50
2024-11-11 14:06:14,1848.48,18.25,19.25
2024-11-11 14:06:24,1858.57,18.75,19.50
2024-11-11 14:06:34,1868.62,19.00,19.00
2024-11-11 14:06:44,1878.62,19.00,19.00
2024-11-11 14:06:54,1888.68,19.00,18.50
2024-11-11 14:07:04,1898.73,19.25,19.25
2024-11-11 14:07:14,1908.78,18.75,19.00
2024-11-11 14:07:24,1918.81,19.25,19.25
2024-11-11 14:07:34,1928.83,18.75,19.50
2024-11-11 14:07:44,1938.91,18.75,19.25
2024-11-11 14:07:55,1948.96,19.25,19.50
2024-11-11 14:08:05,1959.00,19.25,19.25
2024-11-11 14:08:15,1969.10,19.00,19.50
2024-11-11 14:08:25,1979.11,19.00,19.75
2024-11-11 14:08:35,1989.11,19.00,19.75
2024-11-11 14:08:45,1999.19,19.25,19.50
2024-11-11 14:08:55,2009.28,18.75,19.50
2024-11-11 14:09:05,2019.37,18.75,19.75
2024-11-11 14:09:15,2029.40,19.00,19.25
2024-11-11 14:09:25,2039.42,19.00,19.75
2024-11-11 14:09:35,2049.43,19.25,19.50
2024-11-11 14:09:45,2059.45,19.50,19.25
2024-11-11 14:09:55,2069.49,19.00,19.25
2024-11-11 14:10:05,2079.49,19.00,19.75
2024-11-11 14:10:15,2089.51,19.25,19.50
